                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     96,                0.75728,                0.51292,                 1.4412,                0.93145,                0.73684,                0.79421,                0.58327,                 1.1952,                 1.0172,                 1.8991,             0.00072262,             0.00072262,             0.00072262
                     97,                0.75998,                0.56363,                 1.4656,                0.98369,                0.68421,                0.81979,                  0.607,                 1.1332,                0.86404,                 1.8055,             0.00070407,             0.00070407,             0.00070407
                     98,                0.69962,                0.50069,                 1.3873,                0.93247,                0.72735,                 0.7997,                0.58492,                 1.1981,                0.86189,                 1.8728,             0.00068565,             0.00068565,             0.00068565
                     99,                0.73689,                0.48951,                 1.4699,                0.97528,                0.63158,                0.80319,                0.59503,                 1.1505,                0.90218,                 1.9014,             0.00066734,             0.00066734,             0.00066734
                    100,                0.72646,                0.49819,                 1.4685,                0.93202,                 0.7223,                0.82533,                0.64175,                 1.0684,                0.76667,                 1.7809,             0.00064917,             0.00064917,             0.00064917
                    101,                0.68631,                0.45085,                  1.433,                      1,                0.67911,                0.79171,                 0.6255,                 1.0935,                 1.0078,                  1.794,             0.00063114,             0.00063114,             0.00063114
                    102,                 0.7376,                0.49528,                  1.405,                0.78606,                0.78947,                0.77133,                0.58956,                 1.1462,                0.91417,                 1.8692,             0.00061326,             0.00061326,             0.00061326
                    103,                0.66271,                0.45336,                 1.3784,                0.86779,                0.73684,                0.80929,                0.61136,                 1.1327,                   0.99,                 1.8538,             0.00059553,             0.00059553,             0.00059553
                    104,                0.69093,                0.45997,                  1.405,                0.96314,                0.68421,                0.79807,                0.61323,                  1.087,                0.90177,                 1.7853,             0.00057795,             0.00057795,             0.00057795
                    105,                0.69187,                0.44733,                 1.3747,                0.86332,                0.73684,                0.79851,                 0.6201,                 1.1246,                0.82967,                 1.8311,             0.00056055,             0.00056055,             0.00056055
                    106,                0.66908,                 0.4915,                 1.3714,                0.85936,                0.73684,                0.82053,                0.62768,                  1.149,                0.81643,                 1.8686,             0.00054332,             0.00054332,             0.00054332
                    107,                0.69467,                0.46769,                 1.4127,                0.82877,                0.84211,                0.84114,                0.64634,                 1.1081,                0.79972,                  1.845,             0.00052626,             0.00052626,             0.00052626
                    108,                0.68131,                0.47227,                 1.3997,                0.98554,                0.78947,                0.84714,                 0.6418,                 1.1095,                0.74006,                  1.842,              0.0005094,              0.0005094,              0.0005094
                    109,                0.71613,                0.49366,                 1.4071,                0.99177,                0.78947,                0.84715,                0.66639,                 1.0607,                0.68621,                 1.7988,             0.00049273,             0.00049273,             0.00049273
                    110,                0.65847,                0.45789,                 1.3485,                      1,                 0.7805,                0.84784,                0.65679,                 1.1052,                 0.6995,                 1.8476,             0.00047625,             0.00047625,             0.00047625
                    111,                0.64235,                0.46971,                 1.3725,                0.98314,                0.78947,                0.85546,                0.66505,                 1.1279,                0.66655,                 1.8524,             0.00045999,             0.00045999,             0.00045999
                    112,                0.64762,                0.45581,                 1.3535,                      1,                 0.7264,                0.83838,                 0.6432,                  1.132,                0.71748,                 1.8727,             0.00044393,             0.00044393,             0.00044393
                    113,                0.67708,                0.43976,                 1.3604,                0.93171,                0.78947,                0.85654,                 0.6316,                 1.1677,                0.85859,                  1.964,             0.00042809,             0.00042809,             0.00042809
                    114,                0.70856,                0.44553,                 1.3804,                0.98232,                0.78947,                0.85649,                0.62262,                  1.164,                 0.8395,                 1.9729,             0.00041248,             0.00041248,             0.00041248
                    115,                0.65112,                0.42109,                 1.3898,                      1,                0.77075,                0.85062,                0.62766,                 1.1125,                0.80961,                 1.8514,              0.0003971,              0.0003971,              0.0003971
                    116,                0.59681,                0.42266,                   1.32,                0.90954,                0.78947,                0.83419,                0.62767,                 1.0482,                0.75372,                 1.7773,             0.00038195,             0.00038195,             0.00038195
                    117,                0.64097,                0.41642,                 1.3199,                0.92483,                0.78947,                0.83099,                0.62471,                 1.0164,                0.71049,                 1.7492,             0.00036705,             0.00036705,             0.00036705
                    118,                0.67744,                0.48437,                 1.3535,                      1,                0.77575,                0.84001,                0.65563,                 1.0254,                0.66057,                 1.7529,             0.00035239,             0.00035239,             0.00035239
                    119,                0.64469,                0.42769,                 1.3389,                0.92084,                0.78947,                0.83805,                0.64994,                 1.0567,                0.69557,                 1.7972,             0.00033799,             0.00033799,             0.00033799
                    120,                0.66592,                0.45868,                 1.3466,                0.91112,                0.78947,                0.84074,                0.63294,                 1.0787,                0.68573,                  1.872,             0.00032384,             0.00032384,             0.00032384
                    121,                0.64628,                0.43094,                 1.3389,                0.94722,                0.73684,                0.84038,                0.61561,                 1.1318,                 0.7198,                 1.9302,             0.00030996,             0.00030996,             0.00030996
                    122,                0.59041,                0.40995,                 1.3021,                0.93653,                0.77717,                0.84545,                0.63036,                 1.0961,                0.68665,                  1.874,             0.00029635,             0.00029635,             0.00029635
