                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     53,                 1.6965,                 1.3822,                  2.397,                0.69516,                   0.75,                0.66546,                0.42595,                 1.9324,                 1.8941,                 2.7035,              0.0012158,              0.0012158,              0.0012158
                     54,                 1.6528,                 1.3845,                 2.3421,                0.78162,                   0.75,                0.69291,                0.41278,                 1.9138,                 1.8519,                 2.7576,              0.0011904,              0.0011904,              0.0011904
                     55,                 1.6376,                 1.3776,                 2.3459,                0.87812,                  0.625,                0.70336,                0.41349,                 2.0221,                 1.8129,                 2.9704,              0.0011649,              0.0011649,              0.0011649
                     56,                 1.6594,                 1.3825,                 2.3546,                0.82875,                  0.625,                0.63297,                0.39022,                 1.9083,                 2.0473,                 2.7646,              0.0011392,              0.0011392,              0.0011392
                     57,                 1.6843,                  1.337,                 2.3386,                0.82916,                0.60779,                0.63691,                0.37649,                 1.8636,                 1.8596,                 2.6349,              0.0011135,              0.0011135,              0.0011135
                     58,                 1.6427,                 1.3218,                 2.3153,                0.80551,                 0.5625,                0.62534,                0.40312,                 1.8077,                 1.8316,                 2.5795,              0.0010877,              0.0010877,              0.0010877
                     59,                 1.5432,                 1.2676,                 2.2888,                0.84237,                 0.6875,                0.71106,                 0.4392,                 1.7754,                 1.6729,                 2.4934,              0.0010618,              0.0010618,              0.0010618
                     60,                 1.5218,                 1.1555,                 2.2326,                0.95194,                  0.625,                0.72444,                0.42903,                 1.8363,                 1.7035,                 2.5509,              0.0010359,              0.0010359,              0.0010359
                     61,                 1.4771,                 1.2594,                 2.1628,                0.89867,                  0.625,                0.71644,                 0.4273,                 1.8361,                 1.7114,                 2.6255,                0.00101,                0.00101,                0.00101
                     62,                 1.4854,                 1.1566,                 2.2474,                0.90885,                0.62334,                0.71917,                0.43518,                 1.8317,                 1.7412,                   2.65,             0.00098408,             0.00098408,             0.00098408
                     63,                 1.5197,                 1.1584,                 2.2079,                0.81753,                 0.6875,                0.72076,                 0.4559,                 1.8521,                 1.5574,                 2.6621,             0.00095819,             0.00095819,             0.00095819
                     64,                 1.4025,                 1.1872,                 2.1452,                0.85601,                   0.75,                0.74202,                0.47107,                 1.8171,                  1.589,                 2.6197,             0.00093233,             0.00093233,             0.00093233
                     65,                  1.449,                 1.1936,                 2.2085,                0.83348,                   0.75,                0.76135,                0.48092,                 1.8074,                 1.4179,                 2.6521,             0.00090652,             0.00090652,             0.00090652
                     66,                  1.516,                   1.25,                 2.2099,                0.91696,                0.69033,                0.78049,                0.48625,                 1.8347,                  1.518,                 2.7078,             0.00088078,             0.00088078,             0.00088078
                     67,                  1.468,                 1.1794,                 2.1796,                      1,                0.74268,                0.77769,                0.50183,                 1.7345,                 1.4979,                 2.5884,             0.00085513,             0.00085513,             0.00085513
                     68,                 1.3993,                 1.1131,                 2.1254,                0.84986,                0.70858,                0.75326,                0.50538,                  1.565,                 1.5562,                  2.365,             0.00082959,             0.00082959,             0.00082959
                     69,                  1.501,                 1.1429,                  2.207,                0.94176,                 0.6875,                0.76577,                0.50423,                 1.6902,                 1.5723,                 2.5055,             0.00080417,             0.00080417,             0.00080417
                     70,                 1.4414,                 1.2442,                 2.1955,                0.77482,                 0.6875,                0.71444,                0.46297,                 1.7827,                 1.7104,                 2.5203,             0.00077889,             0.00077889,             0.00077889
                     71,                 1.4251,                 1.1114,                 2.1094,                0.98488,                 0.6875,                0.76536,                0.49839,                 1.6736,                 1.6124,                 2.4315,             0.00075377,             0.00075377,             0.00075377
                     72,                  1.424,                 1.1129,                  2.132,                0.84082,                0.66149,                0.74764,                0.46058,                 1.8178,                 1.4988,                 2.5237,             0.00072882,             0.00072882,             0.00072882
                     73,                 1.4344,                 1.1201,                 2.1337,                0.77403,                0.64321,                0.74162,                0.48921,                 1.6354,                 1.4816,                 2.3599,             0.00070407,             0.00070407,             0.00070407
                     74,                 1.3514,                  1.016,                 2.0369,                0.84603,                0.68692,                0.74831,                0.48253,                  1.625,                 1.6577,                 2.3807,             0.00067953,             0.00067953,             0.00067953
                     75,                 1.3679,                 1.0246,                 2.1399,                      1,                0.67601,                0.75677,                0.47896,                 1.6136,                 1.7909,                 2.4606,             0.00065522,             0.00065522,             0.00065522
                     76,                 1.3268,                  1.032,                 2.0622,                0.95145,                 0.6875,                0.74729,                0.49984,                 1.5437,                 1.6408,                 2.3472,             0.00063114,             0.00063114,             0.00063114
                     77,                 1.3076,                 1.0566,                 2.0373,                0.91539,                   0.75,                0.75401,                0.51406,                 1.5495,                 1.7527,                 2.3488,             0.00060733,             0.00060733,             0.00060733
                     78,                 1.2569,                 1.0082,                  2.014,                0.81697,                0.55834,                0.65411,                0.41463,                 1.8567,                 1.8322,                  2.561,             0.00058379,             0.00058379,             0.00058379
                     79,                 1.2707,                 1.0381,                 2.0154,                0.92218,                0.74122,                0.77193,                0.50688,                 1.7748,                 1.6249,                   2.51,             0.00056055,             0.00056055,             0.00056055
                     80,                 1.2805,                 1.0373,                 2.0211,                      1,                0.72816,                0.77006,                0.52318,                 1.6293,                 1.6212,                  2.396,             0.00053761,             0.00053761,             0.00053761
                     81,                 1.2413,                0.99143,                 1.9763,                0.91293,                 0.6875,                0.74857,                0.50905,                 1.6364,                 1.8287,                 2.4582,               0.000515,               0.000515,               0.000515
                     82,                 1.2767,                  1.022,                  2.036,                0.91477,                   0.75,                0.75611,                0.52407,                 1.5594,                 1.7517,                  2.333,             0.00049273,             0.00049273,             0.00049273
                     83,                 1.2289,                 0.9757,                 1.9922,                0.90929,                   0.75,                0.76511,                0.51106,                 1.5574,                 1.7147,                 2.3204,             0.00047081,             0.00047081,             0.00047081
                     84,                 1.2362,                0.98711,                 1.9352,                0.90422,                   0.75,                0.76314,                0.53141,                 1.4435,                  1.648,                 2.1991,             0.00044926,             0.00044926,             0.00044926
                     85,                 1.1814,                0.94277,                 1.9066,                0.91196,                   0.75,                0.74681,                0.52029,                 1.4616,                 1.6123,                 2.2292,             0.00042809,             0.00042809,             0.00042809
                     86,                 1.2651,                0.99443,                  1.995,                0.85614,                0.74428,                0.76398,                0.50095,                 1.5099,                 1.5605,                 2.3035,             0.00040733,             0.00040733,             0.00040733
                     87,                 1.2901,                 1.0099,                  1.947,                0.98559,                  0.625,                0.75097,                0.50165,                 1.5566,                 1.5305,                 2.3331,             0.00038697,             0.00038697,             0.00038697
                     88,                  1.213,                0.94757,                 1.9234,                0.92295,                0.74877,                0.77682,                 0.5167,                 1.4852,                 1.4499,                 2.2355,             0.00036705,             0.00036705,             0.00036705
                     89,                 1.1774,                0.93037,                 1.9371,                0.91709,                   0.75,                0.77174,                0.53662,                 1.3882,                 1.5032,                 2.1154,             0.00034756,             0.00034756,             0.00034756
                     90,                 1.1906,                0.90072,                 1.8837,                0.78401,                   0.75,                0.76318,                0.52427,                 1.3901,                 1.5543,                 2.1049,             0.00032853,             0.00032853,             0.00032853
                     91,                 1.1564,                 0.8954,                   1.89,                0.79171,                   0.75,                0.75365,                0.51482,                 1.4011,                  1.474,                 2.1071,             0.00030996,             0.00030996,             0.00030996
                     92,                 1.1194,                0.85464,                 1.8598,                0.91195,                   0.75,                0.78073,                0.53869,                 1.5461,                 1.3985,                 2.2169,             0.00029188,             0.00029188,             0.00029188
                     93,                 1.1664,                0.87141,                 1.8893,                      1,                0.74356,                0.78294,                0.56091,                 1.5533,                 1.3486,                 2.2487,             0.00027429,             0.00027429,             0.00027429
                     94,                 1.1126,                0.88484,                 1.8567,                0.91247,                   0.75,                0.78185,                0.55731,                 1.5016,                 1.2795,                 2.2604,              0.0002572,              0.0002572,              0.0002572
                     95,                  1.189,                0.89684,                 1.9333,                0.98815,                   0.75,                0.78486,                0.55377,                 1.4929,                 1.2916,                  2.238,             0.00024063,             0.00024063,             0.00024063
                     96,                 1.1598,                0.91089,                 1.9493,                0.99044,                   0.75,                 0.7837,                0.55021,                 1.4964,                 1.4429,                 2.1916,             0.00022458,             0.00022458,             0.00022458
                     97,                 1.1017,                0.83832,                 1.8815,                0.99081,                   0.75,                0.78486,                0.56153,                 1.4368,                 1.4431,                 2.1224,             0.00020907,             0.00020907,             0.00020907
                     98,                 1.1159,                0.86046,                 1.8634,                0.98221,                   0.75,                0.78707,                0.59377,                 1.4241,                 1.4243,                 2.1174,             0.00019412,             0.00019412,             0.00019412
                     99,                 1.1179,                0.84068,                 1.8256,                0.97777,                   0.75,                0.78823,                0.59036,                 1.4503,                 1.4016,                 2.1455,             0.00017972,             0.00017972,             0.00017972
                    100,                 1.1033,                0.82813,                 1.7906,                0.98785,                   0.75,                0.78938,                0.56963,                 1.4849,                 1.4192,                 2.1817,             0.00016589,             0.00016589,             0.00016589
                    101,                 1.0504,                0.84025,                 1.7693,                0.98163,                   0.75,                0.78944,                0.55969,                 1.4817,                 1.4655,                 2.1977,             0.00015263,             0.00015263,             0.00015263
                    102,                 1.0995,                0.83005,                 1.8223,                0.98391,                   0.75,                0.78469,                0.57312,                 1.4382,                 1.5385,                 2.1643,             0.00013997,             0.00013997,             0.00013997
                    103,                 1.0533,                0.79901,                 1.7792,                0.98507,                   0.75,                0.77899,                0.57265,                 1.4093,                 1.4996,                 2.1477,              0.0001279,              0.0001279,              0.0001279
                    104,                 1.0612,                0.79381,                 1.7962,                0.99764,                   0.75,                0.78107,                0.57183,                 1.4189,                 1.4363,                 2.1426,             0.00011644,             0.00011644,             0.00011644
                    105,                 1.0632,                0.81558,                 1.7684,                0.94468,                 0.6875,                0.77487,                0.57197,                 1.4513,                 1.4135,                 2.1459,             0.00010559,             0.00010559,             0.00010559
                    106,                  1.086,                0.78278,                 1.8187,                0.91527,                 0.6875,                  0.774,                0.56971,                 1.4633,                 1.3798,                  2.149,             9.5359e-05,             9.5359e-05,             9.5359e-05
                    107,                 1.0771,                0.78698,                 1.7913,                0.92228,                0.74221,                0.77508,                0.56626,                 1.4546,                 1.3606,                 2.1675,             8.5755e-05,             8.5755e-05,             8.5755e-05
                    108,                 1.0511,                0.81392,                 1.8278,                0.92263,                0.74568,                0.76038,                0.56038,                 1.4278,                 1.4146,                 2.1091,             7.6785e-05,             7.6785e-05,             7.6785e-05
                    109,                 1.0229,                 0.7762,                 1.7623,                0.92282,                0.74751,                0.75699,                0.55106,                  1.421,                 1.4375,                 2.1152,             6.8454e-05,             6.8454e-05,             6.8454e-05
                    110,                 1.0444,                0.73134,                 1.7765,                0.92293,                   0.75,                0.75338,                0.53947,                 1.4157,                 1.4496,                 2.1196,             6.0768e-05,             6.0768e-05,             6.0768e-05
                    111,                  1.054,                   0.82,                 1.7463,                0.92121,                   0.75,                0.76229,                 0.5471,                 1.4306,                 1.4398,                 2.1475,             5.3733e-05,             5.3733e-05,             5.3733e-05
                    112,                 1.0512,                0.78978,                  1.825,                0.91571,                   0.75,                0.76665,                0.54117,                 1.4337,                 1.4341,                 2.1763,             4.7354e-05,             4.7354e-05,             4.7354e-05
                    113,                 1.0705,                0.76322,                 1.7549,                0.91543,                   0.75,                 0.7726,                0.54589,                 1.4474,                 1.4708,                 2.1837,             4.1634e-05,             4.1634e-05,             4.1634e-05
                    114,                 1.0534,                0.80659,                  1.766,                0.91169,                   0.75,                0.77244,                0.54571,                 1.4696,                  1.421,                 2.2164,             3.6578e-05,             3.6578e-05,             3.6578e-05
                    115,                 1.0312,                0.74404,                  1.757,                0.91238,                   0.75,                0.77164,                0.55542,                 1.4529,                 1.4554,                 2.1975,             3.2189e-05,             3.2189e-05,             3.2189e-05
                    116,                 1.0489,                0.78301,                 1.7889,                0.91316,                   0.75,                0.76991,                0.56164,                  1.442,                 1.4424,                 2.1918,              2.847e-05,              2.847e-05,              2.847e-05
                    117,                0.98714,                0.77328,                 1.7214,                 0.9162,                   0.75,                0.76506,                0.56264,                 1.4321,                 1.4544,                 2.1797,             2.5423e-05,             2.5423e-05,             2.5423e-05
                    118,                 1.0438,                0.76083,                 1.7852,                0.91778,                   0.75,                0.77061,                0.55686,                 1.4204,                 1.4649,                  2.155,             2.3052e-05,             2.3052e-05,             2.3052e-05
                    119,                  1.029,                0.75068,                 1.7652,                 0.9184,                   0.75,                0.77108,                0.56143,                 1.4083,                 1.4851,                 2.1331,             2.1357e-05,             2.1357e-05,             2.1357e-05
                    120,                0.97035,                0.76069,                 1.6827,                0.91813,                   0.75,                0.77011,                0.55662,                 1.4107,                 1.4733,                 2.1402,             2.0339e-05,             2.0339e-05,             2.0339e-05
