                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     53,                 1.8257,                 2.1056,                 2.4582,                0.27278,                 0.3125,                0.27526,                0.12644,                 1.8171,                 2.8146,                 2.5025,              0.0016877,              0.0016877,              0.0016877
                     54,                 1.7766,                 2.1048,                 2.3356,                0.44796,                 0.4375,                0.38974,                  0.207,                 1.8509,                 2.6469,                 2.5392,              0.0016763,              0.0016763,              0.0016763
                     55,                 1.7904,                 2.1267,                 2.3521,                0.61499,                0.30082,                0.36669,                0.19255,                 1.7647,                 2.6917,                 2.4819,              0.0016647,              0.0016647,              0.0016647
                     56,                  1.812,                 2.0947,                 2.3971,                0.57392,                 0.3125,                0.38949,                0.19599,                 1.6807,                 2.4885,                    2.4,               0.001653,               0.001653,               0.001653
                     57,                 1.7003,                 2.0177,                 2.3807,                0.46495,                    0.5,                0.34483,                0.18473,                  1.822,                 2.5567,                 2.5631,               0.001641,               0.001641,               0.001641
                     58,                 1.7837,                 2.0965,                 2.3878,                0.36203,                  0.625,                0.38037,                0.18743,                 1.6655,                 2.3173,                 2.3282,               0.001629,               0.001629,               0.001629
                     59,                 1.7493,                 2.0399,                 2.4064,                 0.5279,                 0.1875,                0.25727,                0.13177,                  1.606,                 2.6966,                 2.2991,              0.0016168,              0.0016168,              0.0016168
                     60,                 1.7899,                 2.0204,                 2.4191,                0.32504,                 0.5625,                0.37428,                0.19801,                 1.5818,                 2.5963,                 2.3103,              0.0016044,              0.0016044,              0.0016044
                     61,                   1.77,                 2.0478,                 2.3932,                0.79961,                0.24952,                 0.3248,                0.17468,                 1.5456,                 2.7817,                 2.2958,              0.0015919,              0.0015919,              0.0015919
                     62,                 1.7156,                 1.9014,                 2.2845,                0.68813,                 0.3125,                 0.3512,                 0.1816,                 1.5943,                 3.1008,                 2.3133,              0.0015793,              0.0015793,              0.0015793
                     63,                 1.8232,                 1.8532,                 2.3764,                0.76781,                 0.4375,                0.50762,                0.24409,                 1.6621,                 2.5215,                 2.3565,              0.0015665,              0.0015665,              0.0015665
                     64,                 1.7822,                 1.9727,                 2.3803,                0.54003,                 0.4375,                0.42073,                0.21307,                 1.6845,                 2.4377,                  2.411,              0.0015535,              0.0015535,              0.0015535
                     65,                 1.6946,                 1.9296,                 2.3209,                0.49543,                 0.3125,                 0.3425,                0.15311,                 1.7152,                  3.083,                  2.438,              0.0015405,              0.0015405,              0.0015405
                     66,                 1.7073,                 1.9076,                 2.3195,                0.70161,                  0.375,                0.37302,                0.17888,                 1.6753,                 3.1256,                  2.407,              0.0015273,              0.0015273,              0.0015273
                     67,                 1.6542,                 1.8901,                 2.2894,                0.45028,                0.51248,                0.52971,                0.25947,                 1.5525,                 2.6861,                 2.3256,               0.001514,               0.001514,               0.001514
                     68,                 1.6932,                 1.7634,                 2.2623,                 0.8128,                0.54399,                 0.5804,                 0.2758,                 1.5945,                 2.6266,                 2.3675,              0.0015005,              0.0015005,              0.0015005
                     69,                 1.7088,                 1.7677,                 2.2815,                0.78766,                    0.5,                0.56681,                0.25476,                 1.6315,                 2.6894,                 2.4034,              0.0014869,              0.0014869,              0.0014869
                     70,                 1.6767,                 1.7406,                 2.3098,                0.71461,                 0.4375,                0.46667,                0.21224,                 1.7231,                 2.7271,                  2.379,              0.0014733,              0.0014733,              0.0014733
                     71,                 1.7197,                 1.7501,                 2.3267,                0.96179,                 0.4375,                0.53436,                0.28005,                 1.6767,                 2.5997,                 2.3811,              0.0014595,              0.0014595,              0.0014595
